Id,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtUnfSF,2ndFlrSF,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,MoSold,YrSold,Bed_ratio,MiscVal,PoolArea,LotArea,3SsnPorch,LowQualFinSF,KitchenAbvGr,BsmtFinSF2,ScreenPorch,BsmtHalfBath,EnclosedPorch,OpenPorchSF,MasVnrArea,TotalSF,BsmtFinSF1,LnSalePrice,TotalBsmtSF,WoodDeckSF,MSSubClass,GrLivArea,1stFlrSF,ExterQual,ExterCond,HeatingQC,BsmtQual,BsmtCond,KitchenQual,GarageQual,GarageCond,BsmtFinType1,BsmtFinType2,BsmtExposure,Functional,GarageFinish,x0_C (all),x0_FV,x0_RH,x0_RL,x0_RM,x1_Grvl,x1_Pave,x2_IR1,x2_IR2,x2_IR3,x2_Reg,x3_Bnk,x3_HLS,x3_Low,x3_Lvl,x4_AllPub,x4_NoSeWa,x5_Corner,x5_CulDSac,x5_FR2,x5_FR3,x5_Inside,x6_Gtl,x6_Mod,x6_Sev,x7_Blmngtn,x7_Blueste,x7_BrDale,x7_BrkSide,x7_ClearCr,x7_CollgCr,x7_Crawfor,x7_Edwards,x7_Gilbert,x7_IDOTRR,x7_MeadowV,x7_Mitchel,x7_NAmes,x7_NPkVill,x7_NWAmes,x7_NoRidge,x7_NridgHt,x7_OldTown,x7_SWISU,x7_Sawyer,x7_SawyerW,x7_Somerst,x7_StoneBr,x7_Timber,x7_Veenker,x8_Artery,x8_Feedr,x8_Norm,x8_PosA,x8_PosN,x8_RRAe,x8_RRAn,x8_RRNe,x8_RRNn,x9_Artery,x9_Feedr,x9_Norm,x9_PosA,x9_PosN,x9_RRAe,x9_RRAn,x9_RRNn,x10_1Fam,x10_2fmCon,x10_Duplex,x10_Twnhs,x10_TwnhsE,x11_1.5Fin,x11_1.5Unf,x11_1Story,x11_2.5Fin,x11_2.5Unf,x11_2Story,x11_SFoyer,x11_SLvl,x12_Flat,x12_Gable,x12_Gambrel,x12_Hip,x12_Mansard,x12_Shed,x13_ClyTile,x13_CompShg,x13_Metal,x13_Roll,x13_Tar&Grv,x13_WdShake,x13_WdShngl,x14_AsbShng,x14_AsphShn,x14_BrkComm,x14_BrkFace,x14_CBlock,x14_CemntBd,x14_HdBoard,x14_ImStucc,x14_MetalSd,x14_Plywood,x14_Stone,x14_Stucco,x14_VinylSd,x14_Wd Sdng,x14_WdShing,x15_AsbShng,x15_AsphShn,x15_Brk Cmn,x15_BrkFace,x15_CBlock,x15_CmentBd,x15_HdBoard,x15_ImStucc,x15_MetalSd,x15_Other,x15_Plywood,x15_Stone,x15_Stucco,x15_VinylSd,x15_Wd Sdng,x15_Wd Shng,x16_BrkCmn,x16_BrkFace,x16_None,x16_Stone,x17_BrkTil,x17_CBlock,x17_PConc,x17_Slab,x17_Stone,x17_Wood,x18_Floor,x18_GasA,x18_GasW,x18_Grav,x18_OthW,x18_Wall,x19_N,x19_Y,x20_FuseA,x20_FuseF,x20_FuseP,x20_SBrkr,x21_2Types,x21_Attchd,x21_Basment,x21_BuiltIn,x21_CarPort,x21_Detchd,x22_N,x22_P,x22_Y,x23_COD,x23_CWD,x23_Con,x23_ConLD,x23_ConLI,x23_ConLw,x23_New,x23_Oth,x23_WD,x24_Abnorml,x24_AdjLand,x24_Alloca,x24_Family,x24_Normal,x24_Partial
255,5,6,1957,1957,392,0,1,1,0,3,5,0,1957,1,294,6,2010,0.6,0,0,9.036106025364846,0,0,0.6931471805599453,0,0,0,0,0,0,7.874358824729881,6.827629234502852,11.884495917930655,7.181591944611865,5.5254529391317835,3.044522437723423,7.181591944611865,7.181591944611865,3,4,3,3,3,3,3,3,3,1,1,7,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1067,6,7,1993,1994,799,772,0,2,1,3,7,1,1993,2,380,5,2009,0.42857142857142855,0,0,8.966738978759576,0,0,0.6931471805599453,0,0,0,0,3.713572066704308,0,7.771067086065406,0,12.08954444723597,6.684611727667927,0,4.110873864173311,7.360103972989152,6.684611727667927,4,3,4,4,3,3,3,3,1,1,1,7,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
639,5,7,1910,1950,796,0,0,1,0,2,4,0,1978.6621376811595,0,0,5,2008,0.5,0,0,9.080003870248179,0,0,0.6931471805599453,0,0,0,5.105945474,0,0,7.373374309910049,0,11.350418300109132,6.680854678790215,5.796057750765372,3.4339872044851463,6.680854678790215,6.680854678790215,3,3,4,2,3,3,3,3,1,1,1,7,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
800,5,7,1937,1950,162,787,1,1,1,3,7,2,1939,1,240,6,2007,0.42857142857142855,0,0,8.881975184248867,0,0,0.6931471805599453,0,0,0,5.579729825986222,0,5.533389489,7.824046010856292,6.345636360828596,12.07254696717504,6.595780513961311,0,3.9318256327243257,7.478169694159785,6.889591308354466,3,3,5,4,3,4,3,3,5,1,1,7,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
381,5,6,1924,1950,808,665,0,2,0,3,6,1,1924,1,308,5,2010,0.5,0,0,8.517393171418904,0,0,0.6931471805599453,0,0,0,5.493061443340548,0,0,7.907651594711089,5.389071729816501,11.751950239425476,6.934397209928558,0,3.9318256327243257,7.433666540166168,6.934397209928558,3,3,3,3,3,4,3,3,2,1,1,7,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
304,5,7,1972,1972,0,0,1,1,0,3,5,0,1975,2,552,7,2006,0.6,0,0,9.1902397,0,0,0.6931471805599453,0,0,0,0,0,0,7.489412083508719,6.796823718274855,11.917730355182513,6.796823718274855,5.549076085,3.044522437723423,6.796823718274855,6.796823718274855,3,3,3,3,3,3,3,3,5,1,1,7,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
87,6,5,2005,2005,684,876,0,2,1,3,6,1,2005,2,400,3,2009,0.5,0,0,9.385301574363845,0,0,0.6931471805599453,0,0,0,0,3.6635616461296463,0,7.716460800176355,0,12.066816325306588,6.529418838262226,4.615120517,4.110873864173311,7.353081920515432,6.529418838262226,4,3,5,4,3,4,3,3,1,1,3,7,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1386,4,8,1922,2007,61,358,1,1,0,3,7,0,1922,1,240,5,2010,0.42857142857142855,0,0,8.600982717145921,0,0,0.6931471805599453,0,0,0,0,4.574710978503383,0,7.576097340623111,6.601230118728877,11.74006900564972,6.680854678790215,0,3.9318256327243257,7.051855622955894,6.680854678790215,3,4,4,3,3,4,3,3,4,1,1,7,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
266,6,6,1981,1981,606,0,0,2,0,3,7,1,1981,2,576,6,2008,0.42857142857142855,0,0,9.400216653174247,0,0,0.6931471805599453,5.433722004,0,0,0,0,5.351858133476067,7.953318346560431,6.3784261836515865,12.075400019877522,7.260522598089852,5.6240175061873385,3.044522437723423,7.260522598089852,7.260522598089852,3,4,3,4,3,4,3,3,6,2,1,7,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
794,8,5,2007,2007,1496,0,0,2,0,3,7,0,2007,2,474,6,2007,0.42857142857142855,0,0,9.122492281402987,0,0,0.6931471805599453,0,0,0,0,4.875197323201151,4.948759890378168,8.004031508,0,12.323860125621126,7.311218384419629,5.1298987149230735,3.044522437723423,7.311218384419629,7.311218384419629,4,3,5,4,3,4,3,3,1,1,3,7,3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
